Ranking,Title,Service,Genre
1 (+1),ROBLOX,Roblox Corporation,어드벤처
2 (-1),나이트 크로우,"Wemade Co., Ltd",롤플레잉
3 (+1),리니지M,NCSOFT Corporation,롤플레잉
4 (+3),픽셀 히어로,Ujoy Games,롤플레잉
5 (-),오딘: 발할라 라이징,KAKAO GAMES CORP.,롤플레잉
6 (-3),블랙클로버 모바일,VIC Game Studios,롤플레잉
7 (-1),프라시아 전기,NEXON Company,롤플레잉
8 (NEW),브라운더스트2 - 어드벤처 RPG,NEOWIZ,롤플레잉
9 (+4),전략적 팀 전투,"Riot Games, Inc",전략
10 (-2),아키에이지 워,Kakao Games Corp.,롤플레잉
11 (-1),원신,miHoYo Limited,어드벤처
12 (-1),리니지2M,NCSOFT Corporation,롤플레잉
13 (-4),붕괴: 스타레일,COGNOSPHERE PTE. LTD.,어드벤처
14 (-),무명 기사단,CookApps,시뮬레이션
15 (+1),승리의 여신: 니케,Level Infinite,롤플레잉
16 (+1),피파 모바일,NEXON Company,스포츠
17 (-5),삼국 올스타,Qookka Games,롤플레잉
18 (+1),탕탕특공대,Habby,어드벤처
19 (-1),던전앤파이터 모바일,NEXON Company,롤플레잉
20 (-),클로저스RT: 뉴 오더,NADDIC GAMES,롤플레잉
21 (-),라그나로크X : Next Generation,"GRAVITY Co., Ltd",롤플레잉
22 (-7),리니지W,NCSOFT,롤플레잉
23 (-1),포켓몬고,"Niantic, Inc.",어드벤처
24 (+8),에테르 게이저,BILIBILI,롤플레잉
25 (+8),언던,Level Infinite,롤플레잉
26 (-3),블레이드 키우기,mobirix,시뮬레이션
27 (-),바람의나라 연,NEXON Company,롤플레잉
28 (-4),블루 아카이브,NEXON Company,롤플레잉
29 (-3),드래곤빌리지 컬렉션,highbrow,롤플레잉
30 (-2),쿠키런: 킹덤,Devsisters Corporation,롤플레잉
31 (-1),브롤스타즈,Supercell,액션
32 (+2),메이플스토리M,NEXON Company,롤플레잉
33 (-2),검은사막 모바일,PEARL ABYSS,롤플레잉
34 (-9),아우터플레인,"Smilegate Holdings, Inc",롤플레잉
35 (+4),디아블로 이모탈,"Blizzard Entertainment, Inc.",롤플레잉
36 (-7),디스라이트,FARLIGHT,롤플레잉
37 (-2),히트2,NEXON Company,롤플레잉
38 (-),데블M,37 Mobile Games Oversea,롤플레잉
39 (-2),일곱개의 대죄: 그랜드 크로스,Netmarble,롤플레잉
40 (-),무림소녀키우기,mobirix,시뮬레이션
1 (-),리그 오브 레전드,라이엇 게임즈,MOBA
2 (-),디아블로 4,블리자드 엔터테인먼트,액션 RPG
3 (-),피파온라인 4,㈜넥슨코리아,스포츠
4 (-),메이플스토리,㈜넥슨코리아,MMORPG
5 (-),로스트아크,㈜스마일게이트알피지,핵앤슬래시 MMORPG
6 (-),발로란트,라이엇 게임즈,FPS
7 (-),서든어택,㈜넥슨코리아,FPS
8 (-),던전앤파이터,㈜넥슨코리아,벨트 스크롤 액션 RPG
9 (+1),아이온,㈜엔씨소프트,MMORPG
10 (-1),마인크래프트,엑스박스 게임 스튜디오,샌드박스
11 (-),배틀그라운드,"펍지주식회사, 카카오게임즈",서바이벌 슈팅
